x,T,Flux
0,0.998301,0.005
1,0.988301,0.00499979
2,0.978301,0.00499958
3,0.968302,0.00499937
4,0.958304,0.00499916
5,0.948306,0.00499895
6,0.938308,0.00499874
7,0.928311,0.00499854
8,0.918314,0.00499833
9,0.908317,0.00499812
10,0.898321,0.00499791
11,0.888326,0.00499771
12,0.878331,0.0049975
13,0.868336,0.00499729
14,0.858341,0.00499709
15,0.848347,0.00499688
16,0.838354,0.00499668
17,0.828361,0.00499648
18,0.818368,0.00499628
19,0.808376,0.00499608
20,0.798384,0.00499588
21,0.788392,0.00499568
22,0.778401,0.00499548
23,0.76841,0.00499528
24,0.75842,0.00499509
25,0.74843,0.00499489
26,0.73844,0.0049947
27,0.728451,0.00499451
28,0.718462,0.00499432
29,0.708474,0.00499413
30,0.698486,0.00499394
31,0.688498,0.00499376
32,0.678511,0.00499357
33,0.668524,0.00499339
34,0.658537,0.00499321
35,0.648551,0.00499303
36,0.638565,0.00499285
37,0.62858,0.00499267
38,0.618594,0.0049925
39,0.60861,0.00499233
40,0.598625,0.00499216
41,0.588641,0.00499199
42,0.578657,0.00499182
43,0.568674,0.00499166
44,0.558691,0.00499149
45,0.548708,0.00499133
46,0.538725,0.00499117
47,0.528743,0.00499102
48,0.518761,0.00499086
49,0.50878,0.00499071
50,0.498798,0.00499056
51,0.488817,0.00499042
52,0.478837,0.00499027
53,0.468856,0.00499013
54,0.458876,0.00498999
55,0.448896,0.00498985
56,0.438917,0.00498972
57,0.428937,0.00498958
58,0.418958,0.00498946
59,0.40898,0.00498933
60,0.399001,0.0049892
61,0.389023,0.00498908
62,0.379045,0.00498896
63,0.369067,0.00498885
64,0.359089,0.00498873
65,0.349112,0.00498862
66,0.339135,0.00498851
67,0.329158,0.00498841
68,0.319181,0.00498831
69,0.309205,0.00498821
70,0.299228,0.00498811
71,0.289252,0.00498802
72,0.279276,0.00498792
73,0.269301,0.00498784
74,0.259325,0.00498775
75,0.24935,0.00498767
76,0.239374,0.00498759
77,0.229399,0.00498752
78,0.219424,0.00498744
79,0.20945,0.00498737
80,0.199475,0.00498731
81,0.1895,0.00498724
82,0.179526,0.00498718
83,0.169552,0.00498713
84,0.159577,0.00498707
85,0.149603,0.00498702
86,0.139629,0.00498698
87,0.129655,0.00498693
88,0.119682,0.00498689
89,0.109708,0.00498685
90,0.0997341,0.00498682
91,0.0897605,0.00498679
92,0.079787,0.00498676
93,0.0698135,0.00498674
94,0.0598401,0.00498671
95,0.0498667,0.0049867
96,0.0398933,0.00498668
97,0.0299199,0.00498667
98,0.0199466,0.00498666
99,0.00997331,0.00498666
100,0,0.00498665
